('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         775267 function calls (750995 primitive calls) in 7.058 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      307    0.000    0.000    0.144    0.000 __init__.py:226(compile)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      305    0.000    0.000    0.000    0.000 element.py:1881(_all_strings)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
       75    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1089    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      258    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 {built-in method today}
  167/164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      324    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3389(_has_generic_or_protocol_as_origin)
      138    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      424    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
      128    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      323    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      545    0.000    0.000    0.000    0.000 element.py:2168(get)
      199    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
       49    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
        6    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      216    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      198    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      524    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      248    0.000    0.000    0.000    0.000 {built-in method builtins.any}
    66/35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      313    0.000    0.000    0.000    0.000 socket.py:732(readable)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      238    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.067    0.067 dammit.py:1(<module>)
        3    0.000    0.000    0.011    0.004 utils.py:1(<module>)
      341    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
    44/32    0.000    0.000    0.016    0.000 css_parser.py:579(parse_pseudo_class)
      352    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       41    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      520    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       40    0.000    0.000    0.009    0.000 response.py:469(_decode)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      458    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
        1    0.000    0.000    0.249    0.249 connection.py:669(connect)
    79/46    0.000    0.000    0.149    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      302    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      346    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      314    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      520    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        1    0.000    0.000    0.068    0.068 formatter.py:1(<module>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
    40/31    0.000    0.000    0.015    0.000 css_parser.py:746(parse_pseudo_open)
      166    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        5    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        1    0.000    0.000    0.000    0.000 tempfile.py:271(_RandomNameSequence)
      260    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      524    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
        1    0.000    0.000    0.070    0.070 css_parser.py:1(<module>)
        1    0.000    0.000    0.149    0.149 element.py:1(<module>)
       75    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
        1    0.000    0.000    0.096    0.096 ssl.py:956(_create)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      324    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
       41    0.000    0.000    0.408    0.010 models.py:816(generate)
        1    0.000    0.000    1.132    1.132 connectionpool.py:377(_make_request)
      176    0.000    0.000    0.008    0.000 _parser.py:98(closegroup)
        5    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.882    0.882 connection.py:485(getresponse)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      626    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      200    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       13    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      219    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      516    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      402    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        1    0.000    0.000    0.097    0.097 connection.py:846(_ssl_wrap_socket_and_match_hostname)
    30/17    0.000    0.000    0.177    0.010 {built-in method builtins.__import__}
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.001    0.001 connection.py:369(request)
      112    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       19    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       55    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.007    0.007 ssl.py:1(<module>)
    71/51    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       64    0.000    0.000    0.001    0.000 typing.py:885(__init__)
      264    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
    87/85    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.083    0.083 client.py:213(_read_headers)
        2    0.000    0.000    0.017    0.008 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:335(extend)
      334    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
       25    0.000    0.000    0.002    0.000 typing.py:740(Optional)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       54    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
      232    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       10    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      169    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
      190    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
    87/62    0.000    0.000    0.004    0.000 typing.py:508(__getitem__)
